Date,Sales,year,month,quarter,month_sin,month_cos,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6
2015-07-31,33781.543,2015,7,3,-0.4999999999999997,-0.8660254037844388,34322.9356,23644.303,27906.855,28624.697866666666,26634.248266666666
2015-08-31,27117.5365,2015,8,3,-0.8660254037844385,-0.5000000000000004,33781.543,34322.9356,23644.303,30582.927199999995,29896.887600000002
2015-09-30,81623.5268,2015,9,3,-1.0,-1.8369701987210297e-16,27117.5365,33781.543,34322.9356,31740.671699999995,33663.16168333333
2015-10-31,31453.393,2015,10,4,-0.8660254037844386,0.5000000000000001,81623.5268,27117.5365,33781.543,47507.53543333333,38066.11665
2015-11-30,77907.66070000001,2015,11,4,-0.5000000000000004,0.8660254037844384,31453.393,81623.5268,27117.5365,46731.48543333333,38657.20631666667
2015-12-31,68167.0585,2015,12,4,-2.4492935982947064e-16,1.0,77907.66070000001,31453.393,81623.5268,63661.52683333334,47701.099266666664
2016-01-31,18066.9576,2016,1,1,0.49999999999999994,0.8660254037844387,68167.0585,77907.66070000001,31453.393,59176.0374,53341.78641666667
2016-02-29,11951.411,2016,2,1,0.8660254037844386,0.5000000000000001,18066.9576,68167.0585,77907.66070000001,54713.89226666666,50722.68885
2016-03-31,32339.3184,2016,3,1,1.0,6.123233995736766e-17,11951.411,18066.9576,68167.0585,32728.4757,48195.001266666666
2016-04-30,34154.4685,2016,4,2,0.8660254037844387,-0.4999999999999998,32339.3184,11951.411,18066.9576,20785.895666666667,39980.96653333333
2016-05-31,29959.5305,2016,5,2,0.49999999999999994,-0.8660254037844387,34154.4685,32339.3184,11951.411,26148.3993,40431.14578333333
2016-06-30,23599.374,2016,6,2,1.2246467991473532e-16,-1.0,29959.5305,34154.4685,32339.3184,32151.105800000005,32439.79075
2016-07-31,28608.259,2016,7,3,-0.4999999999999997,-0.8660254037844388,23599.374,29959.5305,34154.4685,29237.791,25011.843333333334
2016-08-31,36818.3422,2016,8,3,-0.8660254037844385,-0.5000000000000004,28608.259,23599.374,29959.5305,27389.054500000002,26768.726900000005
2016-09-30,63133.606,2016,9,3,-1.0,-1.8369701987210297e-16,36818.3422,28608.259,23599.374,29675.32506666667,30913.215433333335
2016-10-31,31011.7375,2016,10,4,-0.8660254037844386,0.5000000000000001,63133.606,36818.3422,28608.259,42853.4024,36045.5967
2016-11-30,75249.3995,2016,11,4,-0.5000000000000004,0.8660254037844384,31011.7375,63133.606,36818.3422,43654.5619,35521.8082
2016-12-31,74543.6012,2016,12,4,-2.4492935982947064e-16,1.0,75249.3995,31011.7375,63133.606,56464.91433333334,43070.1197
2017-01-31,18542.491,2017,1,1,0.49999999999999994,0.8660254037844387,74543.6012,75249.3995,31011.7375,60268.246066666674,51560.82423333334
2017-02-28,22978.815,2017,2,1,0.8660254037844386,0.5000000000000001,18542.491,74543.6012,75249.3995,56111.83056666667,49883.19623333333
2017-03-31,51165.059,2017,3,1,1.0,6.123233995736766e-17,22978.815,18542.491,74543.6012,38688.3024,47576.60836666666
2017-04-30,38679.767,2017,4,2,0.8660254037844387,-0.4999999999999998,51165.059,22978.815,18542.491,30895.455,45581.85053333334
